,bikeid,count
731,15447,1244
732,15448,964
733,15449,1028
734,15451,1419
735,15452,1157
736,15454,916
737,15455,1256
738,15456,891
739,15457,1158
740,15459,1246
741,15460,1253
742,15461,1328
743,15462,927
744,15463,770
745,15465,1336
746,15466,1266
747,15468,1182
748,15469,991
749,15470,920
750,15471,1257
751,15472,1002
752,15474,1098
753,15475,1364
754,15476,1118
755,15478,1405
756,15479,1082
757,15480,1377
758,15482,1240
759,15485,1381
760,15486,1214
761,15487,1222
762,15489,1435
763,15490,1356
764,15491,1329
765,15493,1253
766,15494,1275
767,15495,1432
768,15496,1094
769,15499,1244
770,15502,861
771,15503,776
772,15504,719
773,15505,1145
774,15508,421
775,15509,1156
776,15510,1449
777,15512,1258
778,15513,1029
779,15514,1145
780,15517,851
781,15518,637
782,15520,887
783,15521,248
784,15522,1294
785,15524,1029
786,15525,779
787,15526,947
788,15528,1241
789,15529,1463
790,15530,1354
791,15531,757
792,15533,1152
793,15534,417
794,15535,1373
795,15536,835
796,15537,966
797,15539,850
798,15540,1049
799,15541,1036
800,15542,871
801,15543,1310
802,15544,1126
803,15545,506
804,15548,325
805,15549,1062
806,15550,884
807,15552,1437
808,15553,1099
809,15554,1063
810,15555,934
811,15556,1302
812,15557,1347
813,15558,1139
814,15559,1122
815,15561,899
816,15562,1224
817,15563,921
818,15566,1196
819,15567,923
820,15569,1028
821,15570,1514
822,15572,1061
823,15573,1097
824,15574,993
825,15575,1185
826,15577,1508
827,15578,1166
828,15580,1179
829,15582,1288
830,15584,1063
831,15585,336
832,15586,729
833,15587,1384
834,15588,593
835,15589,1184
836,15590,911
837,15591,791
838,15592,532
839,15593,1359
840,15594,1112
841,15595,1420
842,15596,1057
843,15597,989
844,15598,1118
845,15599,1261
846,15600,1485
847,15601,37
848,15602,899
849,15603,619
850,15604,994
851,15605,1120
852,15607,1218
853,15608,1193
854,15609,965
855,15612,1048
856,15614,1400
857,15617,1431
858,15618,1208
859,15619,102
860,15620,1283
861,15621,1093
862,15622,1064
863,15623,1122
864,15624,974
865,15626,1222
866,15627,1087
867,15628,1396
868,15629,870
869,15630,786
870,15631,1074
871,15632,1284
872,15634,1203
873,15636,1240
874,15637,998
875,15638,1308
876,15639,1075
877,15640,1144
878,15641,637
879,15644,1319
880,15645,910
881,15646,912
882,15647,1155
883,15648,1165
884,15650,1275
885,15651,1317
886,15652,1264
887,15653,1346
888,15655,1018
889,15656,1253
890,15657,902
891,15658,1365
892,15660,1431
893,15661,1159
894,15662,1283
895,15663,869
896,15664,890
897,15665,1158
898,15666,1312
899,15667,1151
900,15670,800
901,15671,1142
902,15674,794
903,15675,1098
904,15676,778
905,15677,1527
906,15678,1653
907,15679,1204
908,15680,1424
909,15681,1164
910,15683,1031
911,15684,482
912,15685,1127
913,15686,1273
914,15687,1057
915,15688,1077
916,15690,1066
917,15691,1120
918,15692,1258
919,15693,1088
920,15694,1378
921,15695,1250
922,15696,208
923,15698,1321
924,15699,1312
925,15700,1253
926,15701,1335
927,15703,1330
928,15705,858
929,15706,1094
930,15707,1413
931,15708,1791
932,15709,1074
933,15711,1046
934,15713,1335
935,15715,996
936,15717,992
937,15718,1420
938,15719,1363
939,15720,1432
940,15721,988
941,15722,1146
942,15724,1122
943,15725,1057
944,15726,1269
945,15727,1206
946,15728,1086
947,15730,1243
948,15731,1446
949,15733,1004
950,15734,1463
951,15736,1130
952,15737,733
953,15738,1359
954,15740,991
955,15741,1226
956,15742,1242
957,15743,1087
958,15745,908
959,15746,1384
960,15747,1353
961,15748,1107
962,15749,1158
963,15750,1051
964,15751,1113
965,15753,1335
966,15754,1251
967,15756,1338
968,15757,1081
969,15758,1327
970,15759,1254
971,15761,1228
972,15762,939
973,15763,1211
974,15764,1266
975,15767,26
976,15768,918
977,15769,1293
978,15770,1046
979,15771,852
980,15772,1038
981,15773,1206
982,15774,1243
983,15775,1120
984,15776,1069
985,15777,1160
986,15780,1040
987,15782,1279
988,15783,553
989,15784,1181
990,15785,820
991,15786,1396
992,15787,1096
993,15788,1167
994,15790,717
995,15791,1252
996,15792,1044
997,15793,1245
998,15794,956
999,15795,1099
1000,15796,1243
1001,15797,1444
1002,15798,959
1003,15799,1183
1004,15800,1020
1005,15801,1275
1006,15802,1296
1007,15803,233
1008,15804,1355
1009,15805,1170
1010,15806,1179
1011,15807,1317
1012,15808,1156
1013,15809,1230
1014,15811,1314
1015,15812,1021
1016,15814,1332
1017,15815,1003
1018,15816,1290
1019,15817,1437
1020,15818,852
1021,15819,1139
1022,15821,1308
1023,15822,1144
1024,15824,1523
1025,15826,898
1026,15827,1377
1027,15828,1453
1028,15829,1517
1029,15832,1130
1030,15833,666
1031,15834,1069
1032,15836,1073
1033,15837,825
1034,15839,1080
1035,15840,1397
1036,15842,617
1037,15843,1109
1038,15844,1289
1039,15845,1311
1040,15846,1414
1041,15847,1140
1042,15848,1173
1043,15849,954
1044,15853,1579
1045,15854,997
1046,15855,1088
1047,15856,975
1048,15858,1086
1049,15859,827
1050,15861,1361
1051,15863,1069
1052,15864,876
1053,15865,1344
1054,15866,1201
1055,15867,1076
1056,15868,1179
1057,15869,1213
1058,15870,1372
1059,15872,1394
1060,15873,1390
1061,15875,1069
1062,15876,1279
1063,15877,1126
1064,15878,1322
1065,15879,1311
1066,15881,1151
1067,15882,1184
1068,15883,953
1069,15884,1075
1070,15885,1314
1071,15886,1230
1072,15887,1023
1073,15888,1291
1074,15889,1317
1075,15890,1238
1076,15892,1069
1077,15893,1050
1078,15894,1205
1079,15895,837
1080,15896,1133
1081,15897,1387
1082,15898,982
1083,15899,1282
1084,15900,1410
1085,15901,800
1086,15902,1028
1087,15903,1207
1088,15904,1240
1089,15905,1296
1090,15906,1257
1091,15907,1291
1092,15910,1100
1093,15911,1240
1094,15912,1242
1095,15914,657
1096,15915,1257
1097,15918,1463
1098,15919,1189
1099,15920,979
1100,15921,1307
1101,15922,1435
1102,15923,925
1103,15924,1389
1104,15925,1512
1105,15926,1262
1106,15927,1318
1107,15929,1353
1108,15930,790
1109,15931,1223
1110,15932,1117
1111,15933,1413
1112,15935,1203
1113,15937,1168
1114,15938,1128
1115,15939,1517
1116,15940,1354
1117,15941,1330
1118,15942,1218
1119,15943,985
1120,15944,823
1121,15945,964
1122,15946,1283
1123,15947,1069
1124,15948,1043
1125,15949,1255
1126,15950,999
1127,15951,1254
1128,15952,1241
1129,15953,1086
1130,15955,1246
1131,15956,1128
1132,15958,1301
1133,15960,1029
1134,15961,980
1135,15962,1517
1136,15963,1138
1137,15964,1469
1138,15965,1470
1139,15967,878
1140,15968,967
1141,15969,1119
1142,15970,1334
1143,15971,1069
1144,15973,701
1145,15974,1396
1146,15975,1120
1147,15976,1204
1148,15978,1236
1149,15982,1049
1150,15983,1427
1151,15984,1147
1152,15985,1283
1153,15986,857
1154,15987,374
1155,15989,1240
1156,15990,1391
1157,15991,1056
1158,15994,1114
1159,15996,1047
1160,15997,1471
1161,15998,641
1162,15999,845
1163,16001,992
1164,16002,1254
1165,16003,1307
1166,16004,1229
1167,16006,1195
1168,16007,379
1169,16008,1330
1170,16009,754
1171,16011,842
1172,16013,1339
1173,16014,1265
1174,16015,1237
1175,16016,660
1176,16017,1021
1177,16018,1257
1178,16019,1101
1179,16020,948
1180,16021,1374
1181,16024,787
1182,16025,1309
1183,16026,1035
1184,16028,846
1185,16029,1254
1186,16030,1586
1187,16031,27
1188,16032,973
1189,16033,1373
1190,16034,970
1191,16035,1002
1192,16038,857
1193,16039,67
1194,16040,1148
1195,16042,1332
1196,16043,1124
1197,16045,1051
1198,16046,1252
1199,16047,1341
1200,16048,1156
1201,16050,1257
1202,16051,1213
1203,16052,508
1204,16056,1443
1205,16058,1276
1206,16059,1145
1207,16060,1143
1208,16061,1314
1209,16065,925
1210,16066,1015
1211,16067,1319
1212,16068,1255
1213,16069,1129
1214,16070,960
1215,16071,783
1216,16073,1187
1217,16074,1411
1218,16077,1037
1219,16078,1308
1220,16081,1542
1221,16084,1041
1222,16086,866
1223,16087,1177
1224,16088,1320
1225,16089,1035
1226,16090,1184
1227,16091,1392
1228,16092,891
1229,16094,1052
1230,16095,1232
1231,16096,1056
1232,16097,1190
1233,16099,975
1234,16100,1388
1235,16101,887
1236,16102,777
1237,16103,1254
1238,16104,1282
1239,16105,892
1240,16106,1127
1241,16107,1014
1242,16109,1388
1243,16110,1517
1244,16111,916
1245,16112,1131
1246,16113,1508
1247,16114,1323
1248,16115,1095
1249,16117,687
1250,16118,1291
1251,16119,1321
1252,16120,1374
1253,16122,1065
1254,16123,1078
1255,16124,797
1256,16125,1329
1257,16126,1135
1258,16127,1339
1259,16129,866
1260,16130,1369
1261,16131,1049
1262,16132,994
1263,16133,1119
1264,16134,474
1265,16135,1152
1266,16136,1242
1267,16137,1234
1268,16139,542
1269,16140,1193
1270,16142,1091
1271,16143,1234
1272,16144,758
1273,16145,1117
1274,16147,910
1275,16148,950
1276,16149,1257
1277,16150,1135
1278,16152,1493
1279,16155,1117
1280,16156,1306
1281,16158,1463
1282,16159,1188
1283,16160,1210
1284,16163,1484
1285,16164,1039
1286,16165,1208
1287,16167,1366
1288,16168,1201
1289,16169,909
1290,16171,468
1291,16172,901
1292,16173,1010
1293,16174,1246
1294,16175,951
1295,16176,1106
1296,16177,1443
1297,16178,1160
1298,16179,1039
1299,16180,1051
1300,16183,1094
1301,16184,787
1302,16185,942
1303,16186,1002
1304,16187,170
1305,16188,925
1306,16190,771
1307,16191,1288
1308,16192,996
1309,16194,983
1310,16195,1382
1311,16199,1133
1312,16200,827
1313,16201,1300
1314,16202,1022
1315,16203,1054
1316,16204,987
1317,16205,887
1318,16206,199
1319,16208,1148
1320,16209,1272
1321,16210,949
1322,16211,970
1323,16213,1258
1324,16214,837
1325,16215,1341
1326,16216,942
1327,16217,1561
1328,16218,1343
1329,16219,1347
1330,16220,1362
1331,16221,1170
1332,16222,1295
1333,16223,1060
1334,16225,1266
1335,16226,951
1336,16227,1282
1337,16228,1307
1338,16229,1242
1339,16231,984
1340,16232,1329
1341,16233,1415
1342,16235,1356
1343,16236,1303
1344,16237,1099
1345,16238,1412
1346,16239,1279
1347,16240,1109
1348,16241,1318
1349,16242,1080
1350,16243,1127
1351,16244,766
1352,16246,893
1353,16247,1114
1354,16248,1205
1355,16250,1478
1356,16251,1347
1357,16252,1177
1358,16253,1420
1359,16254,1147
1360,16256,1083
1361,16257,1255
1362,16258,1112
1363,16259,925
1364,16260,1142
1365,16262,1224
1366,16263,1007
1367,16265,639
1368,16266,129
